Id,LotFrontage,LotArea,LotArea - delete,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
29,47,16321.71192,16321,CulDSac,1Fam,1Story,5,6,1957,1997,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,0,207,1484,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,1957,RFn,1,319,TA,288,258,0,0,0,0,NA,0,12,2006,207500
30,60,6324.674343,6324,Inside,1Fam,1Story,4,6,1927,1950,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,520,520,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,1920,Unf,1,240,Fa,49,0,87,0,0,0,NA,0,5,2008,68500
31,50,8500.544318,8500,Inside,1Fam,2Story,4,4,1920,1950,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,0,649,649,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,1920,Unf,1,250,TA,0,54,172,0,0,0,NA,0,7,2008,40000
32,,8544.618134,8544,CulDSac,1Fam,1Story,5,6,1966,2006,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,0,1228,1228,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,1966,Unf,1,271,TA,0,65,0,0,0,0,NA,0,6,2008,149350
33,85,11049.84119,11049,Corner,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,0,1234,1234,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,2007,RFn,2,484,TA,0,30,0,0,0,0,NA,0,1,2008,179900
34,70,10552.17018,10552,Inside,1Fam,1Story,5,5,1959,1959,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,0,380,1398,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,1959,RFn,2,447,TA,0,38,0,0,0,0,NA,0,4,2010,165500
35,60,7313.667859,7313,Inside,TwnhsE,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,0,408,1561,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2005,Fin,2,556,TA,203,47,0,0,0,0,NA,0,8,2007,277500
36,108,13418.23231,13418,Inside,1Fam,2Story,8,5,2004,2005,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,0,1117,1117,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,2004,Fin,3,691,TA,113,32,0,0,0,0,NA,0,9,2006,309000
37,112,10859.86933,10859,Corner,1Fam,1Story,5,5,1994,1995,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,0,1097,1097,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,1995,Unf,2,672,TA,392,64,0,0,0,0,NA,0,6,2009,145000
38,74,8532.166369,8532,Inside,1Fam,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,0,84,1297,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,1954,Fin,2,498,TA,0,0,0,0,0,0,NA,0,10,2009,153000
39,68,7922.200141,7922,Inside,1Fam,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,0,326,1057,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,1953,Unf,1,246,TA,0,52,0,0,0,0,NA,0,1,2010,109000
40,65,6040.105077,6040,Inside,Duplex,1Story,4,5,1955,1955,AsbShng,Plywood,None,0,TA,TA,PConc,NA,NA,NA,NA,0,0,0,0,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,0,6,2008,82000
41,84,8658.407906,8658,Inside,1Fam,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,0,445,1088,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,1965,RFn,2,440,TA,0,138,0,0,0,0,NA,0,12,2006,160000
42,115,16905.04242,16905,Inside,1Fam,1Story,5,6,1959,1959,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,0,383,1350,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,1959,RFn,1,308,TA,0,104,0,0,0,0,NA,0,7,2007,170000
43,,9180.4729,9180,CulDSac,1Fam,SFoyer,5,7,1983,1983,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,93,0,840,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,1983,RFn,2,504,TA,240,0,0,0,0,0,NA,0,12,2007,144000
44,,9200.600912,9200,CulDSac,1Fam,1Story,5,6,1975,1980,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,491,167,938,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,1977,Unf,1,308,TA,145,0,0,0,0,0,NA,0,7,2008,130250
45,70,7945.438907,7945,Inside,1Fam,1Story,5,6,1959,1959,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,179,506,465,1150,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,1959,RFn,1,300,TA,0,0,0,0,0,0,NA,0,5,2006,141000
46,61,7658.639392,7658,Inside,TwnhsE,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,0,1296,1752,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2005,RFn,2,576,TA,196,82,0,0,0,0,NA,0,2,2010,319900
47,48,12822.59276,12822,CulDSac,1Fam,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,0,83,1434,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,2003,RFn,2,670,TA,168,43,0,0,198,0,NA,0,8,2009,239686
48,84,11096.46606,11096,Inside,1Fam,1Story,8,5,2006,2006,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,0,1632,1656,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,2006,RFn,3,826,TA,0,146,0,0,0,0,NA,0,7,2007,249700
49,33,4456.754954,4456,Inside,2fmCon,2Story,4,5,1920,2008,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,736,736,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,0,0,NA,0,0,102,0,0,0,NA,0,6,2009,113000
50,66,7742.690459,7742,Inside,1Fam,1Story,5,7,1966,1966,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,763,0,192,955,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,1966,Unf,1,386,TA,0,0,0,0,0,0,NA,0,1,2007,127000
51,,13869.96493,13869,Corner,1Fam,2Story,6,6,1997,1997,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,182,0,612,794,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,1997,Fin,2,388,TA,0,75,0,0,0,0,NA,0,7,2007,177000
52,52,6240.530639,6240,Inside,1Fam,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,0,816,816,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,1985,Unf,2,528,TA,112,0,0,0,0,0,Shed,400,9,2006,114500
53,110,8472.90005,8472,Corner,Duplex,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,712,0,816,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,1963,Unf,2,516,TA,106,0,0,0,0,0,NA,0,5,2010,110000
54,68,50271.7384,50271,Inside,1Fam,1Story,9,5,1981,1987,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,0,32,1842,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,1981,Fin,3,894,TA,857,72,0,0,0,0,NA,0,11,2006,385000
55,60,7134.863907,7134,Inside,1Fam,SLvl,5,5,1955,1955,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,384,0,0,384,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,1962,Unf,2,572,TA,0,50,0,0,0,0,NA,0,2,2007,130000
56,100,10175.1378,10175,Inside,1Fam,1Story,6,5,1964,1964,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,TA,TA,No,BLQ,490,0,935,1425,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,1964,RFn,2,576,TA,0,0,0,407,0,0,NA,0,7,2008,180500
57,24,2645.706026,2645,Inside,Twnhs,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,Gd,TA,No,GLQ,649,0,321,970,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,1999,Fin,2,480,TA,115,0,0,0,0,0,NA,0,8,2009,172500
58,89,11645.10381,11645,Corner,1Fam,2Story,7,5,2004,2004,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,0,860,860,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,2004,RFn,2,565,TA,0,70,0,0,0,0,NA,0,8,2006,196500
59,66,13682.76816,13682,CulDSac,1Fam,2Story,10,5,2006,2006,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,0,0,1410,1410,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,2006,Fin,3,641,TA,192,0,37,0,0,0,NA,0,10,2006,438780
60,60,7200.188871,7200,Inside,1Fam,1Story,5,7,1972,1972,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,632,0,148,780,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,1973,Unf,1,352,TA,196,0,0,0,0,0,NA,0,1,2008,124900
61,63,13072.03887,13072,Inside,1Fam,1Story,6,5,2004,2004,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,ALQ,941,0,217,1158,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,2006,Unf,2,576,TA,0,50,0,0,0,0,NA,0,5,2006,158000
62,60,7200.860426,7200,Inside,1Fam,2.5Unf,5,7,1920,1996,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,0,530,530,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,1935,Unf,1,288,TA,0,0,144,0,0,0,NA,0,3,2007,101000
63,44,6442.26399,6442,Inside,TwnhsE,1Story,8,5,2006,2006,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,0,1346,1370,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,2006,RFn,2,484,TA,120,49,0,0,0,0,NA,0,10,2007,202500
64,50,10300.09333,10300,Inside,1Fam,2Story,7,6,1921,1950,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,576,576,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,1990,Unf,2,480,TA,12,11,64,0,0,0,NA,0,4,2010,140000
65,,9375.195185,9375,Inside,1Fam,2Story,7,5,1997,1998,VinylSd,VinylSd,BrkFace,573,TA,TA,PConc,Gd,TA,No,GLQ,739,0,318,1057,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,1998,RFn,2,645,TA,576,36,0,0,0,0,NA,0,2,2009,219500
66,76,9591.473223,9591,Inside,1Fam,2Story,8,5,2004,2005,VinylSd,VinylSd,BrkFace,344,Gd,TA,PConc,Ex,TA,Av,Unf,0,0,1143,1143,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,2004,RFn,3,852,TA,192,151,0,0,0,0,NA,0,10,2007,317000
67,,19900.29514,19900,Inside,1Fam,1Story,7,5,1970,1989,Plywood,Plywood,BrkFace,287,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,0,1035,1947,Y,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,1970,RFn,2,576,TA,301,0,0,0,0,0,NA,0,7,2010,180000
68,72,10665.43708,10665,Inside,1Fam,1Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,167,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,0,440,1453,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,2003,RFn,2,558,TA,144,29,0,0,0,0,NA,0,6,2007,226000
69,47,4608.493742,4608,Corner,1Fam,1Story,4,6,1945,1950,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,0,747,747,Y,SBrkr,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,NA,1945,Unf,1,220,TA,0,0,0,0,0,0,NA,0,6,2010,80000
70,81,15593.50422,15593,Corner,1Fam,1.5Fin,7,4,1953,1953,BrkFace,AsbShng,None,0,Gd,TA,CBlock,TA,TA,No,BLQ,603,0,701,1304,Y,SBrkr,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,1953,Fin,2,667,TA,0,21,114,0,0,0,NA,0,7,2006,225000
71,95,13651.90237,13651,Inside,1Fam,1Story,7,6,1973,1973,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,0,343,2223,Y,SBrkr,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,1973,Fin,2,516,TA,300,0,0,0,0,0,NA,0,2,2007,244000
72,69,7599.566354,7599,Corner,1Fam,1Story,4,6,1982,2006,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,565,0,280,845,Y,SBrkr,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,NA,1987,Unf,2,360,TA,0,0,0,0,0,0,NA,0,6,2007,129500
73,74,10141.98671,10141,Corner,1Fam,2Story,7,5,1998,1998,VinylSd,VinylSd,BrkFace,40,TA,TA,PConc,Gd,TA,No,Unf,0,0,832,832,Y,SBrkr,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,1998,Fin,2,427,TA,0,94,0,0,291,0,NA,0,12,2009,185000
74,85,10200.3923,10200,Inside,1Fam,1Story,5,7,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104,TA,TA,CBlock,TA,TA,No,ALQ,320,362,404,1086,Y,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,1989,Unf,2,490,TA,0,0,0,0,0,0,NA,0,5,2010,144900
75,60,5790.658982,5790,Corner,1Fam,2Story,3,6,1915,1950,VinylSd,VinylSd,None,0,Gd,Gd,CBlock,Fa,TA,No,Unf,0,0,840,840,N,SBrkr,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,NA,1915,Unf,1,379,TA,0,0,202,0,0,0,NA,0,5,2010,107400
76,21,1596.15392,1596,Inside,Twnhs,SLvl,4,5,1973,1973,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,0,0,462,Y,SBrkr,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,NA,1973,Unf,1,297,TA,120,101,0,0,0,0,NA,0,11,2009,91000
